name,url,source,authors
"I Am The Coyote",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/Monplaisir_-_11_-_I_am_the_Coyote(chosic.com).mp3,https://www.chosic.com/download-audio/25533/,Monplaisir
"A Kwela Fella",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/John-Bartmann-A-Kwela-Fella(chosic.com).mp3,https://www.chosic.com/download-audio/28343/,"John Bartmann"
"Improvisation N°15978",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/Monplaisir_-_11_-_Improvisation_n15978(chosic.com).mp3,https://www.chosic.com/download-audio/25534/,Monplaisir
"Stage 1 Level 24",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/Monplaisir_-_04_-_Stage_1_Level_24(chosic.com).mp3,https://www.chosic.com/download-audio/29533/,Monplaisir
"A Ghrà",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/01-Damiano-Baldoni-A-Ghra(chosic.com).mp3,https://www.chosic.com/download-audio/29671/,"Damiano Baldoni"
"RUNNING WATERS",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/Jason-Shaw-RUNNING-WATERS(chosic.com).mp3,https://www.chosic.com/download-audio/29718/,Audionautix
"One Piece Of Summer",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/One-Piece-of-Summer(chosic.com).mp3,https://www.chosic.com/download-audio/30489/,"Keys of Moon"
Glow,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/glow(chosic.com).mp3,https://www.chosic.com/download-audio/37435/,"Scott Buckley"
"New Lands",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/New-Lands-Long-version(chosic.com).mp3,https://www.chosic.com/download-audio/46414/,Alex-Productions
"Happy Days",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/Happy-Days(chosic.com).mp3,https://www.chosic.com/download-audio/46427/,"Steven O’Brien"
"Good Times",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/Good-Times-chosic.com_.mp3,https://www.chosic.com/download-audio/59420/,Alex-Productions
"Dormir Rien De Plus",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/Monplaisir_-_04_-_Dormir_rien_de_plus(chosic.com).mp3,https://www.chosic.com/download-audio/25174/,Monplaisir
"Barque Sur Le Lac",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/Komiku_-_04_-_Barque_sur_le_lac(chosic.com).mp3,https://www.chosic.com/download-audio/25113/,Komiku
Soulagement,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/Demoiselle_Dner_-_18_-_Soulagement(chosic.com).mp3,https://www.chosic.com/download-audio/24756/,"Demoiselle Döner"
Juillet,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/acoustic/Monplaisir_-_06_-_Juillet(chosic.com).mp3,https://www.chosic.com/download-audio/24709/,Monplaisir
