name,url,source,authors
"Rising Moon",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Rising_Moon(chosic.com).mp3,https://www.chosic.com/download-audio/28497/,RandomMind
"King’s Feast",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Kings_Feast(chosic.com).mp3,https://www.chosic.com/download-audio/28498/,RandomMind
"The Old Tower Inn",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/The_Old_Tower_Inn(chosic.com).mp3,https://www.chosic.com/download-audio/28499/,RandomMind
Rejoicing,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Rejoicing(chosic.com).mp3,https://www.chosic.com/download-audio/28500/,RandomMind
"Fireside Tales",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Fireside-Tales-MP3(chosic.com).mp3,https://www.chosic.com/download-audio/28506/,"Darren Curtis"
"Haven Of The Faeries",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Haven-of-the-Faeries-MP3(chosic.com).mp3,https://www.chosic.com/download-audio/28507/,"Darren Curtis"
"Over The Plains Of Snow",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Over-the-Plains-of-Snow-MP3(chosic.com).mp3,https://www.chosic.com/download-audio/28511/,"Darren Curtis"
"Peace On The Water",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Peace-on-the-Water-MP3(chosic.com).mp3,https://www.chosic.com/download-audio/28512/,"Darren Curtis"
"A Time Forgotten",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/A-Time-Forgotten-MP3(chosic.com).mp3,https://www.chosic.com/download-audio/28514/,"Darren Curtis"
"Ale And Anecdotes",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Ale-and-Anecdotes-MP3(chosic.com).mp3,https://www.chosic.com/download-audio/28515/,"Darren Curtis"
"The Bard’s Tale",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/The_Bards_Tale(chosic.com).mp3,https://www.chosic.com/download-audio/27015/,RandomMind
"Market Day",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Market_Day(chosic.com).mp3,https://www.chosic.com/download-audio/27016/,RandomMind
"Minstrel Dance",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Minstrel_Dance(chosic.com).mp3,https://www.chosic.com/download-audio/27017/,RandomMind
"Peaceful Forest “Into Oblivion”",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Into-Oblivion(chosic.com).mp3,https://www.chosic.com/download-audio/27972/,"Darren Curtis"
"I’m Not What I Thought",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/darren-curtis-i-am-not-what-i-thought(chosic.com).mp3,https://www.chosic.com/download-audio/27974/,"Darren Curtis"
"Eternal Sleep",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Eternal-Sleep(chosic.com).mp3,https://www.chosic.com/download-audio/28002/,"Darren Curtis"
"Lake Of Destiny",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Lake-of-Destiny(chosic.com).mp3,https://www.chosic.com/download-audio/28004/,"Darren Curtis"
"Guitar Gentle",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Guitar-Gentle(chosic.com).mp3,https://www.chosic.com/download-audio/29514/,PeriTune
Soar,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/scott-buckley-soar(chosic.com).mp3,https://www.chosic.com/download-audio/29607/,"Scott Buckley"
"Nowhere Land",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Nowhere-Land(chosic.com).mp3,https://www.chosic.com/download-audio/29626/,"Alexander Nakarada"
"The Lone Wolf",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/The-Lone-Wolf(chosic.com).mp3,https://www.chosic.com/download-audio/29628/,"Alexander Nakarada"
"Beyond The Horizon",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Beyond-The-Horizon(chosic.com).mp3,https://www.chosic.com/download-audio/29629/,"Alexander Nakarada"
"Carol Of The Bells Celtic Version",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Carol-Of-The-Bells-Celtic-Version(chosic.com).mp3,https://www.chosic.com/download-audio/29630/,"Alexander Nakarada"
Wintersong,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Wintersong(chosic.com).mp3,https://www.chosic.com/download-audio/29631/,"Alexander Nakarada"
Neverland,https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Neverland(chosic.com).mp3,https://www.chosic.com/download-audio/29632/,"Alexander Nakarada"
"Horsemen Approach",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Horsemen-Approach(chosic.com).mp3,https://www.chosic.com/download-audio/29633/,"Alexander Nakarada ft. Kevin MacLeod"
"Dungeons And Dragons",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Dungeons-And-Dragons(chosic.com).mp3,https://www.chosic.com/download-audio/29634/,"Alexander Nakarada"
"Towards The Horizon",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/Towards-The-Horizon(chosic.com).mp3,https://www.chosic.com/download-audio/29635/,"Alexander Nakarada"
"The Northern Path",https://github.com/fcjfior/rhythmloft-cdn-i/blob/main/fantasy/The-Northern-Path(chosic.com).mp3,https://www.chosic.com/download-audio/29637/,"Alexander Nakarada"
